T,O,H,L,C,V,BV
2019-05-23,7630.02169696,7938.721,7460.00000002,7841.29690762,573.76084803,4410412.13252747
2019-05-24,7853.79910726,8119.99999996,7773.0,7968.59237989,298.83228167,2380001.0454417835
2019-05-25,7967.98834323,8084.38915806,7915.00000001,8033.64505192,154.61027714,1237075.2578338988
2019-05-26,8033.67097239,8725.89685784,7865.91750001,8622.8333333,596.20660994,4973338.654182568
2019-05-27,8606.32499298,8899.82977793,8600.0,8749.285831,540.57442579,4722740.854306902
2019-05-28,8751.57426342,8795.38220147,8533.5122,8733.33333326,223.49994417,1941621.983907161
2019-05-29,8710.30798822,8749.48358536,8433.16684314,8636.54854872,337.05946564,2905348.1697294204
2019-05-30,8649.50337158,9050.14132167,8042.0,8269.56907149,841.21810945,7201225.743449304
2019-05-31,8269.56907146,8620.9710035,8110.00000001,8562.0,412.61016836,3444791.3345804415
2019-06-01,8562.0,8605.76890994,8430.49845158,8535.60738132,173.39890684,1477460.1224491517
2019-06-02,8522.21780546,8816.66666665,8522.21780546,8717.96004638,164.17203237,1424029.399228859
2019-06-03,8713.41352235,8725.4858097,8100.0,8124.41438907,376.12661551,3178100.677858265
2019-06-04,8124.41438907,8124.41438907,7501.0,7694.10599983,662.45319638,5187147.977352538
2019-06-05,7684.50000002,7900.00675106,7577.00000005,7783.05045025,472.6228531,3659892.0155949173
2019-06-06,7782.80689483,7859.99999994,7460.83,7790.11698137,246.8537828,1893652.3814008627
2019-06-07,7798.80965985,8087.0,7739.17292914,7984.57314,332.52233749,2639573.113074819
2019-06-08,7976.86625214,8038.649975,7769.0,7900.99999992,90.12158253,712176.4165041337
2019-06-09,7900.0,7927.05133173,7515.0,7638.99039502,249.02408947,1923485.3372491926
2019-06-10,7624.69370014,8012.94129999,7521.59792697,7976.0,269.23901968,2097785.3289462198
2019-06-11,7978.8618,8000.75478859,7702.50000001,7888.0490326,324.85176288,2544147.6610808447
2019-06-12,7891.60069999,8200.0,7799.27005539,8135.96360762,281.34108648,2248635.0627117944
2019-06-13,8109.35141394,8299.49999985,8014.05000001,8219.96050222,265.32501133,2163626.541965099
2019-06-14,8225.78190158,8674.6272825,8151.00000003,8642.45680001,267.93644324,2249042.1845001024
2019-06-15,8660.73765141,8842.50953848,8571.22634637,8660.28103337,212.98017117,1851495.5399550407
2019-06-16,8800.0,9339.65141974,8765.12190004,9077.12549347,356.03235484,3236333.145696113
2019-06-17,8985.07458746,9430.14379998,8985.07458746,9307.9984386,333.2117758,3072716.368059098
2019-06-18,9319.93542549,9319.93542549,8961.25543491,9082.32533277,260.39101913,2374211.352150314
2019-06-19,9100.0,9287.92674341,9044.2259566,9261.66857356,156.34963332,1432269.5245214158
2019-06-20,9263.99889804,9576.26189284,9190.0,9567.25463807,302.24149155,2835053.4663762474
2019-06-21,9538.20789912,10185.67753078,9522.61875006,10172.30791531,414.04084337,4064113.924327226
2019-06-22,10170.84444987,11171.35076857,10016.94330958,10743.0368891,893.71890003,9536635.412431696
2019-06-23,10741.05965543,10848.8902265,10710.82263797,10844.25801453,2.16729817,23381.556598989722
2019-06-24,10886.0,11138.55444698,10619.97844116,11049.8,299.21241249,3254899.0709297922
2019-06-25,11049.8,11847.99999998,11035.65470248,11811.11000001,391.25788759,4450236.1803221535
2019-06-26,11831.61530591,13967.87350254,11738.0,13093.33992035,1804.55319129,23107933.71102983
2019-06-27,13074.47849865,13442.21508959,10531.63534457,11302.63044346,1817.97367098,21289135.658373743
2019-06-28,11329.03,12480.0,11008.0,12447.979,729.50818716,8602297.51787358
2019-06-29,12418.72114092,12439.6269025,11490.8396615,11897.53100001,511.55110866,6081815.270967951
2019-06-30,11903.652,12066.34683171,11903.652,12056.03999997,9.53595899,114456.11633740443
2019-07-01,10840.0,11285.3493407,10047.77048069,10627.993,925.24408954,9812226.400545591
2019-07-02,10617.121,10932.26819274,9735.47873104,10831.15879436,808.5647228,8306483.20210815
2019-07-03,10857.14285714,11974.21068519,10857.14285714,11941.33628185,849.53048163,9675670.644919695
2019-07-04,11948.71933442,11994.99999999,11047.508,11152.68896066,701.77269233,8174048.407561067
2019-07-05,11114.753,11393.39999999,10803.31871148,11164.326,491.94478601,5449651.404323388
2019-07-06,10974.51589119,11656.08868138,10972.02923884,11231.854,251.17146749,2859134.1281059342
2019-07-07,11231.9,11231.9,11115.0,11213.95000001,13.99483812,156170.23382938094
2019-07-08,11426.14,12332.904,11285.08505532,12256.63541378,456.34736116,5433071.12785796
2019-07-09,12242.56000004,12781.91871274,12072.528405,12541.70999999,885.91395352,11016671.698787255
2019-07-10,12555.374,13124.99999996,11560.17126413,12123.21645309,924.87759996,11564672.131464217
2019-07-11,12101.0,12101.0,11000.0,11350.65999999,832.37897729,9541668.109610362
2019-07-12,11348.032,11887.79,11085.71500001,11770.22087782,381.94137711,4412460.230939529
2019-07-13,11770.22087782,11801.101,10843.00000001,11385.385,432.93217781,4857895.685379415
2019-07-14,11373.28625859,11414.28667733,11300.21855555,11311.356,3.88489774,44132.22034400388
2019-07-15,10197.0,11075.19699999,9868.36363636,10835.82941852,618.44546962,6403784.296848268
2019-07-16,10832.737,11006.209,9363.63639998,9404.2343277,946.91510511,9494005.586821066
2019-07-17,9423.16545571,9940.0,9070.0,9663.566,835.21898484,7936771.613827042
2019-07-18,9687.8220003,10767.37001466,9278.6264,10636.45098584,1067.71601746,10740628.090116305
2019-07-19,10657.65000002,10752.937,10110.0,10510.318,549.67909605,5709204.756142909
2019-07-20,10520.0,11050.88,10356.98775773,10742.14801387,571.2824728,6106951.394763084
2019-07-21,10732.136,10811.36363636,10300.0,10592.828,326.11039516,3444258.5382126262
2019-07-22,10600.27743643,10685.78070697,10101.00000004,10326.107,524.68452994,5442759.705955468
2019-07-23,10320.834,10320.834,9834.38694378,9869.58162909,406.60456585,4078756.3144875243
2019-07-24,9876.21,9925.33423264,9530.00000002,9678.613,493.81601459,4793831.2896543965
2019-07-25,9770.25153271,10162.6,9728.79696133,9900.05299998,352.94024252,3529009.6864651674
2019-07-26,9878.815,9878.815,9656.52705917,9819.28668689,220.15146591,2142520.0075154845
2019-07-27,9818.6320134,10167.00877928,9331.24,9475.132,514.99236002,5009206.242215641
2019-07-28,9484.998,9610.0,9162.95382203,9538.8619284,324.34265665,3061745.8878049725
